DATE,AUS_CASES_ACTIVE,AUS_CASES_LOCAL_LAST_24H,AUS_CASES_OVERSEAS_ACQUIRED_LAST_24H,AUS_CASES_UNDER_INVESTIGATION_LAST_24H,AUS_CASES_LOCAL_LAST_7D,AUS_CASES_OVERSEAS_ACQUIRED_LAST_7D,AUS_CASES_UNDER_INVESTIGATION_LAST_7D,ACT_CASES_ACTIVE,ACT_CASES_LOCAL_LAST_24H,ACT_CASES_OVERSEAS_ACQUIRED_LAST_24H,ACT_CASES_UNDER_INVESTIGATION_LAST_24H,ACT_CASES_LOCAL_LAST_7D,ACT_CASES_OVERSEAS_ACQUIRED_LAST_7D,ACT_CASES_UNDER_INVESTIGATION_LAST_7D,NSW_CASES_ACTIVE,NSW_CASES_LOCAL_LAST_24H,NSW_CASES_OVERSEAS_ACQUIRED_LAST_24H,NSW_CASES_UNDER_INVESTIGATION_LAST_24H,NSW_CASES_LOCAL_LAST_7D,NSW_CASES_OVERSEAS_ACQUIRED_LAST_7D,NSW_CASES_UNDER_INVESTIGATION_LAST_7D,NT_CASES_ACTIVE,NT_CASES_LOCAL_LAST_24H,NT_CASES_OVERSEAS_ACQUIRED_LAST_24H,NT_CASES_UNDER_INVESTIGATION_LAST_24H,NT_CASES_LOCAL_LAST_7D,NT_CASES_OVERSEAS_ACQUIRED_LAST_7D,NT_CASES_UNDER_INVESTIGATION_LAST_7D,QLD_CASES_ACTIVE,QLD_CASES_LOCAL_LAST_24H,QLD_CASES_OVERSEAS_ACQUIRED_LAST_24H,QLD_CASES_UNDER_INVESTIGATION_LAST_24H,QLD_CASES_LOCAL_LAST_7D,QLD_CASES_OVERSEAS_ACQUIRED_LAST_7D,QLD_CASES_UNDER_INVESTIGATION_LAST_7D,SA_CASES_ACTIVE,SA_CASES_LOCAL_LAST_24H,SA_CASES_OVERSEAS_ACQUIRED_LAST_24H,SA_CASES_UNDER_INVESTIGATION_LAST_24H,SA_CASES_LOCAL_LAST_7D,SA_CASES_OVERSEAS_ACQUIRED_LAST_7D,SA_CASES_UNDER_INVESTIGATION_LAST_7D,TAS_CASES_ACTIVE,TAS_CASES_LOCAL_LAST_24H,TAS_CASES_OVERSEAS_ACQUIRED_LAST_24H,TAS_CASES_UNDER_INVESTIGATION_LAST_24H,TAS_CASES_LOCAL_LAST_7D,TAS_CASES_OVERSEAS_ACQUIRED_LAST_7D,TAS_CASES_UNDER_INVESTIGATION_LAST_7D,VIC_CASES_ACTIVE,VIC_CASES_LOCAL_LAST_24H,VIC_CASES_OVERSEAS_ACQUIRED_LAST_24H,VIC_CASES_UNDER_INVESTIGATION_LAST_24H,VIC_CASES_LOCAL_LAST_7D,VIC_CASES_OVERSEAS_ACQUIRED_LAST_7D,VIC_CASES_UNDER_INVESTIGATION_LAST_7D,WA_CASES_ACTIVE,WA_CASES_LOCAL_LAST_24H,WA_CASES_OVERSEAS_ACQUIRED_LAST_24H,WA_CASES_UNDER_INVESTIGATION_LAST_24H,WA_CASES_LOCAL_LAST_7D,WA_CASES_OVERSEAS_ACQUIRED_LAST_7D,WA_CASES_UNDER_INVESTIGATION_LAST_7D,AUS_SOURCE_OVERSEAS,AUS_SOURCE_LOCAL_CONFIRMED_CASE,AUS_SOURCE_LOCAL_UNKNOWN_CONTACT,AUS_SOURCE_LOCAL_INTERSTATE_TRAVEL,AUS_SOURCE_UNDER_INVESTIGATION,AUS_CASES_TOTAL,AUS_DEATHS_TOTAL,ACT_SOURCE_OVERSEAS,ACT_SOURCE_LOCAL_CONFIRMED_CASE,ACT_SOURCE_LOCAL_UNKNOWN_CONTACT,ACT_SOURCE_LOCAL_INTERSTATE_TRAVEL,ACT_SOURCE_UNDER_INVESTIGATION,ACT_CASES_TOTAL,ACT_DEATHS_TOTAL,NSW_SOURCE_OVERSEAS,NSW_SOURCE_LOCAL_CONFIRMED_CASE,NSW_SOURCE_LOCAL_UNKNOWN_CONTACT,NSW_SOURCE_LOCAL_INTERSTATE_TRAVEL,NSW_SOURCE_UNDER_INVESTIGATION,NSW_CASES_TOTAL,NSW_DEATHS_TOTAL,NT_SOURCE_OVERSEAS,NT_SOURCE_LOCAL_CONFIRMED_CASE,NT_SOURCE_LOCAL_UNKNOWN_CONTACT,NT_SOURCE_LOCAL_INTERSTATE_TRAVEL,NT_SOURCE_UNDER_INVESTIGATION,NT_CASES_TOTAL,NT_DEATHS_TOTAL,QLD_SOURCE_OVERSEAS,QLD_SOURCE_LOCAL_CONFIRMED_CASE,QLD_SOURCE_LOCAL_UNKNOWN_CONTACT,QLD_SOURCE_LOCAL_INTERSTATE_TRAVEL,QLD_SOURCE_UNDER_INVESTIGATION,QLD_CASES_TOTAL,QLD_DEATHS_TOTAL,SA_SOURCE_OVERSEAS,SA_SOURCE_LOCAL_CONFIRMED_CASE,SA_SOURCE_LOCAL_UNKNOWN_CONTACT,SA_SOURCE_LOCAL_INTERSTATE_TRAVEL,SA_SOURCE_UNDER_INVESTIGATION,SA_CASES_TOTAL,SA_DEATHS_TOTAL,TAS_SOURCE_OVERSEAS,TAS_SOURCE_LOCAL_CONFIRMED_CASE,TAS_SOURCE_LOCAL_UNKNOWN_CONTACT,TAS_SOURCE_LOCAL_INTERSTATE_TRAVEL,TAS_SOURCE_UNDER_INVESTIGATION,TAS_CASES_TOTAL,TAS_DEATHS_TOTAL,VIC_SOURCE_OVERSEAS,VIC_SOURCE_LOCAL_CONFIRMED_CASE,VIC_SOURCE_LOCAL_UNKNOWN_CONTACT,VIC_SOURCE_LOCAL_INTERSTATE_TRAVEL,VIC_SOURCE_UNDER_INVESTIGATION,VIC_CASES_TOTAL,VIC_DEATHS_TOTAL,WA_SOURCE_OVERSEAS,WA_SOURCE_LOCAL_CONFIRMED_CASE,WA_SOURCE_LOCAL_UNKNOWN_CONTACT,WA_SOURCE_LOCAL_INTERSTATE_TRAVEL,WA_SOURCE_UNDER_INVESTIGATION,WA_CASES_TOTAL,WA_DEATHS_TOTAL,AUS_TESTS_LAST_7D,AUS_TESTS_PER_100K_LAST_7D,AUS_TESTS_TOTAL,AUS_TESTS_POSITIVE_PCT,ACT_TESTS_LAST_7D,ACT_TESTS_PER_100K_LAST_7D,ACT_TESTS_TOTAL,ACT_TESTS_POSITIVE_PCT,NSW_TESTS_LAST_7D,NSW_TESTS_PER_100K_LAST_7D,NSW_TESTS_TOTAL,NSW_TESTS_POSITIVE_PCT,NT_TESTS_LAST_7D,NT_TESTS_PER_100K_LAST_7D,NT_TESTS_TOTAL,NT_TESTS_POSITIVE_PCT,QLD_TESTS_LAST_7D,QLD_TESTS_PER_100K_LAST_7D,QLD_TESTS_TOTAL,QLD_TESTS_POSITIVE_PCT,SA_TESTS_LAST_7D,SA_TESTS_PER_100K_LAST_7D,SA_TESTS_TOTAL,SA_TESTS_POSITIVE_PCT,TAS_TESTS_LAST_7D,TAS_TESTS_PER_100K_LAST_7D,TAS_TESTS_TOTAL,TAS_TESTS_POSITIVE_PCT,VIC_TESTS_LAST_7D,VIC_TESTS_PER_100K_LAST_7D,VIC_TESTS_TOTAL,VIC_TESTS_POSITIVE_PCT,WA_TESTS_LAST_7D,WA_TESTS_PER_100K_LAST_7D,WA_TESTS_TOTAL,WA_TESTS_POSITIVE_PCT,AUS_AGED_CARE_IN_HOME_ACTIVE,AUS_AGED_CARE_IN_HOME_RECOVERED,AUS_AGED_CARE_IN_HOME_DEATHS,ACT_AGED_CARE_IN_HOME_ACTIVE,ACT_AGED_CARE_IN_HOME_RECOVERED,ACT_AGED_CARE_IN_HOME_DEATHS,NSW_AGED_CARE_IN_HOME_ACTIVE,NSW_AGED_CARE_IN_HOME_RECOVERED,NSW_AGED_CARE_IN_HOME_DEATHS,NT_AGED_CARE_IN_HOME_ACTIVE,NT_AGED_CARE_IN_HOME_RECOVERED,NT_AGED_CARE_IN_HOME_DEATHS,QLD_AGED_CARE_IN_HOME_ACTIVE,QLD_AGED_CARE_IN_HOME_RECOVERED,QLD_AGED_CARE_IN_HOME_DEATHS,SA_AGED_CARE_IN_HOME_ACTIVE,SA_AGED_CARE_IN_HOME_RECOVERED,SA_AGED_CARE_IN_HOME_DEATHS,TAS_AGED_CARE_IN_HOME_ACTIVE,TAS_AGED_CARE_IN_HOME_RECOVERED,TAS_AGED_CARE_IN_HOME_DEATHS,VIC_AGED_CARE_IN_HOME_ACTIVE,VIC_AGED_CARE_IN_HOME_RECOVERED,VIC_AGED_CARE_IN_HOME_DEATHS,WA_AGED_CARE_IN_HOME_ACTIVE,WA_AGED_CARE_IN_HOME_RECOVERED,WA_AGED_CARE_IN_HOME_DEATHS,AUS_AGED_CARE_RESIDENTIAL_ACTIVE,AUS_AGED_CARE_RESIDENTIAL_RECOVERED,AUS_AGED_CARE_RESIDENTIAL_DEATHS,ACT_AGED_CARE_RESIDENTIAL_ACTIVE,ACT_AGED_CARE_RESIDENTIAL_RECOVERED,ACT_AGED_CARE_RESIDENTIAL_DEATHS,NSW_AGED_CARE_RESIDENTIAL_ACTIVE,NSW_AGED_CARE_RESIDENTIAL_RECOVERED,NSW_AGED_CARE_RESIDENTIAL_DEATHS,NT_AGED_CARE_RESIDENTIAL_ACTIVE,NT_AGED_CARE_RESIDENTIAL_RECOVERED,NT_AGED_CARE_RESIDENTIAL_DEATHS,QLD_AGED_CARE_RESIDENTIAL_ACTIVE,QLD_AGED_CARE_RESIDENTIAL_RECOVERED,QLD_AGED_CARE_RESIDENTIAL_DEATHS,SA_AGED_CARE_RESIDENTIAL_ACTIVE,SA_AGED_CARE_RESIDENTIAL_RECOVERED,SA_AGED_CARE_RESIDENTIAL_DEATHS,TAS_AGED_CARE_RESIDENTIAL_ACTIVE,TAS_AGED_CARE_RESIDENTIAL_RECOVERED,TAS_AGED_CARE_RESIDENTIAL_DEATHS,VIC_AGED_CARE_RESIDENTIAL_ACTIVE,VIC_AGED_CARE_RESIDENTIAL_RECOVERED,VIC_AGED_CARE_RESIDENTIAL_DEATHS,WA_AGED_CARE_RESIDENTIAL_ACTIVE,WA_AGED_CARE_RESIDENTIAL_RECOVERED,WA_AGED_CARE_RESIDENTIAL_DEATHS,AUS_CASES_HOSPITAL_NOT_ICU,AUS_CASES_HOSPITAL_ICU,ACT_CASES_HOSPITAL_NOT_ICU,ACT_CASES_HOSPITAL_ICU,NSW_CASES_HOSPITAL_NOT_ICU,NSW_CASES_HOSPITAL_ICU,NT_CASES_HOSPITAL_NOT_ICU,NT_CASES_HOSPITAL_ICU,QLD_CASES_HOSPITAL_NOT_ICU,QLD_CASES_HOSPITAL_ICU,SA_CASES_HOSPITAL_NOT_ICU,SA_CASES_HOSPITAL_ICU,TAS_CASES_HOSPITAL_NOT_ICU,TAS_CASES_HOSPITAL_ICU,VIC_CASES_HOSPITAL_NOT_ICU,VIC_CASES_HOSPITAL_ICU,WA_CASES_HOSPITAL_NOT_ICU,WA_CASES_HOSPITAL_ICU,AUS_DEATHS_AGE_0_9_SEX_M,AUS_DEATHS_AGE_0_9_SEX_F,AUS_DEATHS_AGE_10_19_SEX_M,AUS_DEATHS_AGE_10_19_SEX_F,AUS_DEATHS_AGE_20_29_SEX_M,AUS_DEATHS_AGE_20_29_SEX_F,AUS_DEATHS_AGE_30_39_SEX_M,AUS_DEATHS_AGE_30_39_SEX_F,AUS_DEATHS_AGE_40_49_SEX_M,AUS_DEATHS_AGE_40_49_SEX_F,AUS_DEATHS_AGE_50_59_SEX_M,AUS_DEATHS_AGE_50_59_SEX_F,AUS_DEATHS_AGE_60_69_SEX_M,AUS_DEATHS_AGE_60_69_SEX_F,AUS_DEATHS_AGE_70_79_SEX_M,AUS_DEATHS_AGE_70_79_SEX_F,AUS_DEATHS_AGE_80_89_SEX_M,AUS_DEATHS_AGE_80_89_SEX_F,AUS_DEATHS_AGE_90+_SEX_M,AUS_DEATHS_AGE_90+_SEX_F
2021-04-26,249,0,25,2,3,135,8,0,0,0,0,0,0,0,95,0,8,0,0,44,0,53,0,4,0,0,41,0,17,0,2,0,0,10,2,32,0,11,2,0,21,6,0,0,0,0,0,0,0,23,0,0,0,1,10,0,29,0,0,0,2,9,0,7298,17958,4283,154,2,29695,910,94,25,1,3,0,123,3,3245,1643,450,90,0,5428,54,160,2,0,2,0,164,0,1204,264,41,23,0,1532,7,530,152,9,26,2,719,4,85,141,5,3,0,234,13,1098,15648,3763,0,0,20509,820,882,83,14,7,0,986,9,229076,903,16615179,0.2,2348,551,198154,0.1,61667,763,5601641,0.1,6435,2615,173511,0.1,33407,656,2437183,0.1,21345,1218,1253595,0.1,3925,734,208752,0.1,89532,1358,5743233,0.4,10417,397,999110,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,257,0,23,2,3,143,10,0,0,0,0,0,0,0,100,0,12,0,0,53,0,52,0,0,0,0,35,0,17,0,2,0,0,12,2,33,0,1,2,0,20,8,0,0,0,0,0,0,0,27,0,4,0,1,13,0,28,0,4,0,2,10,0,7327,17959,4283,154,2,29725,910,94,25,1,3,0,123,3,3256,1644,450,90,0,5440,54,160,2,0,2,0,164,0,1213,264,41,23,0,1541,7,531,152,9,26,2,720,4,85,141,5,3,0,234,13,1102,15648,3763,0,0,20513,820,886,83,14,7,0,990,9,272653,1075,16686634,0.2,2075,487,198381,0.1,60672,750,5606431,0.1,6261,2544,174220,0.1,31396,617,2440105,0.1,21478,1226,1256344,0.1,4220,789,209305,0.1,96365,1461,5760108,0.4,50186,1914,1041740,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-28,256,0,25,2,3,152,12,0,0,0,0,0,0,0,108,0,9,0,0,56,0,52,0,1,0,0,33,0,15,0,9,0,0,20,2,31,0,0,2,0,19,10,0,0,0,0,0,0,0,23,0,2,0,1,12,0,27,0,4,0,2,12,0,7351,17959,4283,154,2,29749,910,94,25,1,3,0,123,3,3265,1644,450,90,0,5449,54,161,2,0,2,0,165,0,1222,264,41,23,0,1550,7,530,152,9,26,2,719,4,85,141,5,3,0,234,13,1104,15648,3763,0,0,20515,820,890,83,14,7,0,994,9,294365,1161,16746095,0.2,2140,502,198920,0.1,65364,808,5623066,0.1,6534,2655,175528,0.1,32124,631,2446266,0.1,21521,1228,1259490,0.1,4346,813,210249,0.1,100774,1528,5777123,0.4,61562,2348,1055453,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-29,276,0,27,2,3,158,10,1,0,1,0,0,1,0,119,0,15,0,0,64,0,49,0,0,0,0,28,0,24,0,4,0,0,24,2,32,0,2,2,0,16,8,0,0,0,0,0,0,0,23,0,1,0,1,11,0,28,0,4,0,2,14,0,7381,17959,4283,154,2,29779,910,95,25,1,3,0,124,3,3280,1644,450,90,0,5464,54,161,2,0,2,0,165,0,1228,264,41,23,0,1556,7,533,152,9,26,2,722,4,85,141,5,3,0,234,13,1105,15648,3763,0,0,20516,820,894,83,14,7,0,998,9,307601,1213,16796517,0.2,2348,551,199368,0.1,67994,841,5635960,0.1,6610,2686,176521,0.1,33321,654,2452628,0.1,22367,1276,1263615,0.1,4201,786,210813,0.1,103714,1573,5794014,0.4,67046,2557,1063598,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-30,292,0,21,2,3,143,11,1,0,0,0,0,1,0,129,0,13,0,0,59,0,49,0,1,0,0,17,0,28,0,3,0,0,23,2,33,0,1,2,0,17,9,0,0,0,0,0,0,0,24,0,2,0,1,11,0,28,0,1,0,2,15,0,7403,17959,4283,154,2,29801,910,95,25,1,3,0,124,3,3293,1644,450,90,0,5477,54,162,2,0,2,0,166,0,1231,264,41,23,0,1559,7,535,152,9,26,2,724,4,85,141,5,3,0,234,13,1107,15648,3763,0,0,20518,820,895,83,14,7,0,999,9,327165,1290,16849538,0.2,2241,526,199705,0.1,69378,858,5647330,0.1,6573,2671,177322,0.1,36837,723,2458965,0.1,24138,1377,1268333,0.1,4222,790,211464,0.1,114894,1742,5818427,0.4,68882,2627,1067992,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,285,0,10,0,1,138,3,1,0,0,0,0,1,0,129,0,4,0,0,62,0,49,0,0,0,0,7,0,29,0,0,0,0,22,0,31,0,2,0,0,18,3,0,0,0,0,0,0,0,23,0,3,0,0,13,0,23,0,1,0,1,15,0,7415,17959,4283,154,1,29812,910,95,25,1,3,0,124,3,3297,1644,450,90,0,5481,54,162,2,0,2,0,166,0,1233,264,41,23,0,1561,7,537,152,9,26,1,725,4,85,141,5,3,0,234,13,1110,15648,3763,0,0,20521,820,896,83,14,7,0,1000,9,320788,1265,16877232,0.2,2252,528,199935,0.1,71037,879,5657557,0.1,6629,2694,178241,0.1,34274,673,2464657,0.1,25184,1437,1271818,0.1,4224,790,212114,0.1,108306,1643,5824918,0.4,68882,2627,1067992,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,272,3,8,0,3,139,4,1,0,0,0,0,1,0,120,0,3,0,0,64,0,41,0,0,0,0,6,0,28,0,0,0,0,20,0,33,0,2,0,0,19,4,0,0,0,0,0,0,0,23,0,1,0,0,13,0,26,3,2,0,3,16,0,7426,17962,4283,154,1,29826,910,95,25,1,3,0,124,3,3300,1644,450,90,0,5484,54,162,2,0,2,0,166,0,1236,264,41,23,0,1564,7,539,152,9,26,1,727,4,85,141,5,3,0,234,13,1111,15648,3763,0,0,20522,820,898,86,14,7,0,1005,9,319572,1260,16907151,0.2,2130,500,200072,0.1,72331,895,5666557,0.1,6070,2466,178859,0.1,34360,675,2468776,0.1,24969,1425,1275190,0.1,4181,782,212503,0.1,106649,1617,5837202,0.4,68882,2627,1067992,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03,246,0,15,0,3,128,5,1,0,0,0,0,1,0,110,0,5,0,0,61,0,35,0,0,0,0,2,0,17,0,3,0,0,21,0,35,0,3,0,0,10,5,0,0,0,0,0,0,0,21,0,1,0,0,14,0,27,0,3,0,3,19,0,7441,17962,4283,154,1,29841,910,95,25,1,3,0,124,3,3305,1644,450,90,0,5489,54,162,2,0,2,0,166,0,1239,264,41,23,0,1567,7,542,152,9,26,1,730,4,85,141,5,3,0,234,13,1112,15648,3763,0,0,20523,820,901,86,14,7,0,1008,9,331037,1305,16946216,0.2,2137,501,200291,0.1,72836,901,5674477,0.1,5808,2360,179319,0.1,34711,682,2471894,0.1,23614,1348,1277209,0.1,4008,750,212760,0.1,105629,1602,5848862,0.4,82294,3139,1081404,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,247,0,10,1,3,116,1,1,0,0,0,0,1,0,112,0,7,0,0,56,0,35,0,0,0,0,2,0,18,0,1,0,0,20,0,34,0,1,1,0,11,1,0,0,0,0,0,0,0,21,0,1,0,0,11,0,26,0,0,0,3,15,0,7452,17962,4283,154,1,29852,910,95,25,1,3,0,124,3,3312,1644,450,90,0,5496,54,162,2,0,2,0,166,0,1240,264,41,23,0,1568,7,544,152,9,26,1,732,4,85,141,5,3,0,234,13,1113,15648,3763,0,0,20524,820,901,86,14,7,0,1008,9,290315,1145,16976949,0.2,2415,567,200796,0.1,73647,911,5680078,0.1,6242,2536,180462,0.1,34332,674,2474437,0.1,23646,1349,1279990,0.1,3977,744,213282,0.1,103079,1563,5863187,0.4,42977,1639,1084717,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-05,243,0,13,0,3,104,1,1,0,0,0,0,1,0,119,0,10,0,0,57,0,29,0,0,0,0,1,0,18,0,0,0,0,11,0,30,0,1,0,0,12,1,0,0,0,0,0,0,0,20,0,0,0,0,9,0,26,0,2,0,3,13,0,7466,17962,4283,154,0,29865,910,95,25,1,3,0,124,3,3322,1644,450,90,0,5506,54,162,2,0,2,0,166,0,1240,264,41,23,0,1568,7,546,152,9,26,0,733,4,85,141,5,3,0,234,13,1113,15648,3763,0,0,20524,820,903,86,14,7,0,1010,9,284091,1120,17030186,0.2,2345,550,201265,0.1,70556,873,5693622,0.1,5768,2344,181296,0.1,33018,648,2479284,0.1,23514,1342,1283004,0.1,3671,687,213920,0.1,105466,1599,5882589,0.3,39753,1516,1095206,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-06,237,2,19,0,5,93,1,0,0,0,0,0,0,0,123,2,9,0,2,50,0,21,0,1,0,0,2,0,17,0,3,0,0,10,0,29,0,1,0,0,9,1,0,0,0,0,0,0,0,19,0,2,0,0,10,0,28,0,3,0,3,12,0,7485,17962,4285,154,0,29886,910,95,25,1,3,0,124,3,3330,1644,452,90,0,5516,54,163,2,0,2,0,167,0,1243,264,41,23,0,1571,7,548,152,9,26,0,735,4,85,141,5,3,0,234,13,1115,15648,3763,0,0,20526,820,906,86,14,7,0,1013,9,284304,1121,17080821,0.2,2379,558,201747,0.1,69241,856,5705201,0.1,5665,2302,182186,0.1,32612,640,2485240,0.1,22777,1300,1286392,0.1,3740,700,214553,0.1,104975,1592,5898989,0.3,42915,1637,1106513,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07,229,0,10,0,5,82,1,0,0,0,0,0,0,0,123,0,5,0,2,42,0,13,0,0,0,0,1,0,20,0,2,0,0,8,0,31,0,3,0,0,12,1,0,0,0,0,0,0,0,17,0,0,0,0,8,0,25,0,0,0,3,11,0,7496,17962,4285,154,0,29897,910,95,25,1,3,0,124,3,3335,1644,452,90,0,5521,54,163,2,0,2,0,167,0,1246,264,41,23,0,1574,7,551,152,9,26,0,738,4,85,141,5,3,0,234,13,1115,15648,3763,0,0,20526,820,906,86,14,7,0,1013,9,279363,1102,17128901,0.2,2518,591,202223,0.1,71210,881,5718540,0.1,5852,2378,183174,0.1,33674,661,2492639,0.1,21400,1221,1289733,0.1,3751,702,215215,0.1,96697,1466,5915124,0.3,44261,1688,1112253,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
